c_id,ipo_id,val_amount,raised_amount,ipo_date,stock_symbol
c:230996,991,0.0,0.0,2013-06-24,NASDAQ:OLED
c:5067,1000,0.0,60000000.0,2013-07-01,NASDAQ;CTRL
c:73152,1001,0.0,60000000.0,2013-07-01,NASDAQ:MBII
c:1063,1002,0.0,65000000.0,2013-07-02,NYSE:YUME
c:235777,1009,0.0,128000000.0,2013-08-08,NASDAQ:FOXF
c:24131,1010,0.0,82000000.0,2013-07-18,NASDAQ:OMED
c:3399,1014,0.0,117600000.0,2013-07-09,NYSE:CVT
c:24028,1015,0.0,160000000.0,2013-08-08,NYSE:XON
c:236144,1016,0.0,147000000.0,2013-07-09,TSX:ISV
c:70725,1020,367000000.0,109000000.0,2010-11-01,SODA
c:100844,1022,0.0,0.0,2007-08-01,ATTU
c:23054,1024,0.0,150000000.0,2011-01-01,Velt
c:223425,1025,210000000.0,69000000.0,2004-06-10,PDSN
c:13922,1026,1096000000.0,160.0,2011-05-04,RPXC
c:210969,1029,794000000.0,187000000.0,1999-03-25,ONEM
c:61691,1030,0.0,52000000.0,2013-07-17,NASDAQ:VSTM
c:238715,1031,0.0,100000000.0,2013-07-17,NASDAQ:FSFR
c:158876,1040,0.0,0.0,2013-07-23,NASDAQ:HTBX
c:4999,1042,450000000.0,150000000.0,2001-03-09,NASDAQ:LDCL
c:37880,1043,0.0,0.0,2013-07-24,NASDAQ:XGTI
c:241173,1044,0.0,0.0,2013-07-24,OTCBB:SGLB
c:23609,1046,0.0,0.0,2013-07-26,NASDAQ:FPRX
c:20266,1047,0.0,0.0,1993-12-14,NYSE:SPG
c:46007,1050,0.0,108000000.0,2013-07-29,NASDAQ:FMI
c:77195,1057,0.0,305000000.0,2013-08-01,NYSE:KKR
c:1360,1058,0.0,0.0,2013-08-01,NASDAQ:BCOR
c:245559,1066,0.0,0.0,2013-08-06,NASDAQ:PDCE
c:245874,1068,0.0,48000000.0,2013-08-07,NASDAQ:VNDA
c:31070,1069,0.0,0.0,2013-08-07,NASDAQ:TQNT
c:181675,1072,0.0,46600000.0,2013-08-08,NYSE:ONVO
c:27384,1073,35000000.0,0.0,2013-08-08,NASDAQ: HNSN
c:10704,1082,1100000000.0,187500000.0,2013-11-14,NYSE:CHGG
c:247904,1086,0.0,0.0,2013-08-14,TSXV: LEC
c:254972,1088,0.0,172500000.0,2013-08-15,NASDAQ:QPACU
c:142492,1093,0.0,0.0,2013-08-16,NYSE: XPO
c:29778,1095,0.0,116000000.0,2013-08-19,NYSE: FUEL
c:71350,1096,20000000.0,2500000.0,2011-05-02,SMTP
c:217859,1098,0.0,0.0,2013-01-01,OTC: PLPM
c:246769,1108,0.0,65000000.0,2013-08-23,NASDAQ:SPHS
c:40456,1118,0.0,0.0,2013-08-26,NYSE:VMEM
c:71598,1172,0.0,0.0,2013-04-08,RMGN
c:15563,1206,0.0,304000000.0,2013-09-20,NASDAQ:FEYE
c:949,1219,0.0,97500000.0,2013-09-27,NYSE:RNG
c:268225,1221,0.0,352000000.0,2013-10-02,NASDAQ:PEGI
c:25238,1222,0.0,62000000.0,2013-09-27,NASDAQ:ENZY
c:227029,1251,0.0,75000000.0,2013-10-09,NASDAQ:LDRH
c:23311,1262,0.0,260000000.0,2013-10-16,NYSE:VEEV
c:12394,1287,0.0,577000000.0,2013-10-25,NASDAQ:COMM
c:12422,1288,0.0,252000000.0,2013-10-25,NASDAQ:EIGI
c:1867,1292,0.0,250000000.0,2013-10-30,NASDAQ:CRTO
c:273403,1299,0.0,225000000.0,2013-11-01,TCS
c:12,1310,18100000000.0,1820000000.0,2013-11-07,NYSE:TWTR
c:1105,1312,750000000.0,127000000.0,2013-11-06,NASDAQ:WIX
c:268288,1323,0.0,74000000.0,2013-11-21,NYSE:EVGN
c:279014,1332,0.0,0.0,2013-11-13,NYSE:STAY
c:40228,1333,0.0,138000000.0,2008-11-17,NASDAQ:TNDM
c:37940,1334,0.0,263000000.0,2013-11-15,NASDAQ:ZU
c:281519,1344,0.0,200000000.0,2013-11-22,NYSE:VNCE
c:281663,1345,0.0,228000000.0,2013-11-21,NYSE:NVGS
c:279449,1351,0.0,79000000.0,2013-11-24,NASDAQ:GOMO
c:225182,1355,0.0,84500000.0,2009-02-26,NASDAQ:CSII
c:185523,1356,38600.0,11800.0,1999-12-09,SZ002315
c:85862,1357,0.0,86250000.0,2008-12-01,NASDAQ:INGN
c:17533,1359,0.0,124600000.0,2007-07-06,NASDAQ: SPRD
c:213595,1362,0.0,70000000.0,2013-12-03,Nasdaq:XNCR
c:36508,1370,0.0,43000000.0,2013-12-11,TYO:3681
c:152753,1371,0.0,0.0,1985-12-05,NASDAQ:COST
c:39330,1373,0.0,725000000.0,2013-12-11,NYSE:ARMK
c:220208,1374,0.0,2350000000.0,2008-12-08,NYSE:HLT
